Artillery Company of Newport,"23 Clark Street
Roanoke Center,"108 North Jefferson Street
Roanoke, VA 24016
", 540-767-6100,, vtroanoke@vt.edu, www.vtrc.vt.edu/,"History,",,
Roanoke City School,"1777 Thomason Lane
Goodview, VA 24095
",,,,,"History,","Ms. Carole Massart, Retired Supervisor",,,
Roaring Twenties Antique Car Museum,"Hood, VA 22723
", 540-948-6290, 540-948-6290, info@roaring-twenties.com,,"History,","Martha Dudley, Marketing Director",,,
Robert E. Lee Memorial Association,"Stratford, VA 22558
",,,,,"History,","Col. Thomas C. Taylor, Executive Director",phone: 804-493-8038,,
Robert R. Moton Museum,"Prospect, VA 23960
", 434-315-8775,, info@motonmuseum.org, www.motonmuseum.org/,"History,","Lacy Ward, Jr., Director",e-mail: director@motonmuseum.org,,
Rockbridge Historical Society,"101 East Washington Street
Lexington, VA 24450
", 540-464-1058,, rochist@hotmail.com, www.rockhist.org,"Art,Botanical Garden,Culture,General,History,Historic House,Historical Society,Library,,Services,Gift ShopSpecial Event Rental,","Mr. George Warren, IV, Executive Director",phone: 540-464-1058,e-mail: rochist@hotmail.com,"Margaret Skovira, Volunteer",e-mail: rochist@hotmail.com,,
Rockingham County Courthouse,"Harrisonburg, VA 22801
",,,,,"History,","Mr. William O'Brien, County Administrator",,,
"Rosewell Foundation, Inc.","The Rosewell Foundation, Inc.
5113 Old Rosewell Lane
Gloucester, VA 23061
",,,, www.rosewell.org,"Historic House,","Hilarie M. Hicks, Executive Director",phone: 804-693-2585,e-mail: rosewell@inna.net,"Mary Carle Warren, Executive Assistant",phone: 804-693-2585,e-mail: rosewell@inna.net,,
Russell County Historical Society,"Lebanon, VA 24266
",,,,,"Historical Society,",,
Ruth E. Lloyd Information Center,"8051 Ashton Avenue
Bull Run Regional Library
Manassas, VA 20109
", 703-792-4500, 703-792-4524,,,"History,Library,","Mr. Donald Wilson, Librarian",phone: 703-792-4540,e-mail: relic2@pwcgov.org,,
Sailor's Creek Battlefield Park,"9943 Cheatham's Rd.
Amelia Court House, VA 23002
",,,,,"Park,",Mr. Brendan Burke,phone: 804-561-5778,,
Salem Museum,"801 E. Main Street
Salem, VA 24153
", 540-389-6760,, info@salemmuseum.org, www.salemmuseum.org/,"History,",,
Saltville Museum,"Saltville, VA 24370
",,, townmanager@saltville.org,,"History,",,
Sawhill Gallery,"James Madison University
800 S. Main St. Harrisonburg
Harrisonburg, VA 22807
", 540-568-3621,,,,"History,",,
Schooner Alexandria,"1000 S. Lee St.
Alexandria, VA 22314
",,,, www.schoonerman.com/alex.htm,"History,",,
Science Museum of Virginia,"2500 West Broad Street
Richmond, VA 23220
", 804-864-1400, 804-864-1509, info@smv.org, www.smv.org,"Children's,Science,","Ms. Jan Wagener, Marketing Manager",,,
Science Museum of Western Virginia,"One Market Square
Roanoke, VA 24011
", 540-342-5710,,, www.smwv.org,"Children's,Science,","Mr. Stewart Hill, Executive Director",phone: 540-342-5726,e-mail: shill@smwv.org,,
Scottsville Museum,"290 Main Street
Scottsville, VA 24590
", 434-286-2247,, smuseum@avenue.org, smuseum.avenue.org/,"History,","Ms. Gwynne Daye, President",phone: 804-286-2247,,
Second Street Gallery,"115 Second Street, SE
Charlottesville, VA 22902
", 804-977-7284, 804-979-9793,, www.secondstreetgallery.org,"Art,","Steve Taylor, Director",e-mail: taylor@secondstreetgallery.org,,
Sergeant Kirkland's Museum and Historian,"912 Lafayette Blvd.
Fredericksburg, VA 22404
",,,,,"History,","Mr. Ronald Seagrave, Executive Director",,,
Shenandoah Co. Historical Society,"Edinburg, VA 22824
", 540-984-7842,,, www.shenandoahcountyhistoricalsociety.org/,"Historical Society,","Barbara Adamson, President",,,
Shenandoah National Park,"Luray, VA 22835
",,,,,"Park,",,
"Shenandoah Valley Art Center, Inc.","600 West Main Street
Waynesboro, VA 22980
", 540-949-7662,, svartcenter@gmail.com, www.svacart.com,"Art,","Ms. Gina Snell, President",phone: 540-949-7662,,
Shenandoah Valley Discovery Museum,"54 South Loudoun Street
Winchester, VA 22604
", 540-722-2020, 540-722-2189,, www.discoverymuseum.net,"Children's,Nature Centers,Science,,Services,Gift Shop,","Ms. Peggy McKee, Executive Director",e-mail: pMckee@discoverymuseum.net,"Niki Wilson, Director of Marketing",phone: 540-722-2020,e-mail: nwilson@discoverymuseum.net,,
Sherwood Forest Plantation,"State Rout 5, 14051 John Tyler Highway
Charles City, VA 23030
",,,, www.sherwoodforest.org,"History,Historic House,","Ms. Kay Tyler, Executive Director",phone: 804-829-5377,e-mail: ktyler@sherwoodforest.org,,
Shirley Plantation,"501 Shirley Plantation Road
Charles City, VA 23030
", 804-829-5121, 804-829-6322, info@shirleyplantation.com, www.shirleyplantation.com,"History,Historic House,","Brad Mismas, Assistant Visitor Services",e-mail: publicrelations@shirleyplantation.com,"Janet L.  Appel, Director",e-mail: director@shirleyplantation.com ,"Randy Carter, Deputy Director",e-mail: randycarter@shirleyplantation.com ,"LaFawn Crewe, Administrative Manager/Tour Reservations",e-mail: tours@shirleyplantation.com,"Kim Adkins, Museum Collections Supervisor",e-mail: collections@shirleyplantation.com ,"Julian Charity, Visitor Services Supervisor/Historian",e-mail: history@shirleyplantation.com ,"Lee Hayes, Educational Programs Coordinator",e-mail: tours@shirleyplantation.com ,,
Siege Museum,"15 W. Bank St.
Petersburg, VA 23803
",,,,,"History,","Mr. George W. Bass, Site Coordinator",phone: 804-733-2404,,
Sixth Mount Zion Baptist Church,"14 West Duval Street
Richmond, VA 23219
", 804-648-7511,, rossbc@verizon.net, www.smzbc.org/,"Church,Culture,History,","Mr. Benjamin C. Ross, Church Historian",phone: 804-648-7511,,
Smith’s Fort Plantation,"217 Smith Fort Lane
Surry, VA 23883
", 757-294-3872,, smithsfortplantation@preservationvirginia.org, www.preservationvirginia.com/visit/historic-properties/smiths-fort-plantation,"Culture,History,Historic House,Park,,Services,Gift ShopGroup Tours,","Jennifer Hurst-Wender, Director of Museum Operations and Education",phone: 804-648-1889,e-mail: jhurstwender@preservationvirginia.org,"Tom Forehand, Site Coordinator",phone: 757-294-3872,e-mail: smithsfortplantation@preservationvirginia.org,,
Smithsonian Naturalist Center,"741 Miller Dr., SE, Suite G2
Leesburg, VA 20175
",,,,,,,
Smyth County Historical Society & Museum,"109 Strother Street
Marion, VA 24354
", 276-783-7286,,, www.virginia.org/site/description.asp?attrid=10840,"Culture,General,History,Historical Society,Specialized,",,
South Boston-Halifax County Museum of Fine Arts and History,"1540 Wilborn Avenue
South Boston, VA 24592
", 804-572-9200,, info@sbhcmuseum.org, www.sbhcmuseum.org,"Art,History,","Ms. Marjorie Holtman, Director",,"Andrea Smith, Assistant to Director",,,
South Hill Community Development,"201 S. Mecklenburg Ave.
South Hill, VA 23970
",,,,,"History,",,
South River Meeting House,"5810 Fort Avenue
Lynchburg, VA 24502
",,,,,"History,Historic House,","James D. Garrett, Docent and Coordinator",phone: 804-239-2548,,
Southampton County Historical Society,"33335 Statesville Rd.
Newsoms, VA 23874
",,, lgupdike@fastrus.com,,"History,Historic House,Historical Society,","Mrs. Lynda Updike, President",phone: 757-654-6785,e-mail: updikes@earthlink.net,"Bill Billings, Assistant PR Chair",e-mail: h2okayak@yahoo.com,,
Southwest Virginia Community College Gallery,"Richlands, VA 24641
",,,, www.sw.edu/,"History,","Dr. Barbara Fuller, VP of Instruction",e-mail: barbara.fuller@sw.edu,,
Southwest Virginia Museum,"Big Stone Gap, VA 24219
", 276-523-1322,,, www.swvamuseum.org/,"History,",,
Spotsylvania County Museum and Library,"8956 Courthouse Road
Spotsylvania, VA 22553
", 540-582-7167,,,,"History,Library,","T Dougherty, Director",e-mail: tdougherty@spotsylvania.va.us,,
St. John's Church,"2401 E. Broad Street
Richmond, VA 23223
", 804-649-7938,,, www.historicstjohnschurch.org/,"Church,","Ms. Patricia Atherholt, Director",phone: 804-648-5015,"The Rev. Laura D. Inscoe, Rector",,,
St. Paul's Episcopol Church,"815 E. Grace St.
Richmond, VA 23219
", 804-836-5109,, katejenkins@stpauls-episcopal.org, www.stpauls-episcopal.org/,"Church,","The Rev. D. Wallace Adams-Riley, Rector",,"The Rev. Kate Jenkins, Associate Rector",e-mail: katejenkins@stpauls-episcopal.org,"Margaret Rush, Executive Assistant to the Rector",e-mail: mrush@stpauls-episcopal.org,,
Stanley Library and Art Galleries,"Ferrum, VA 24088
",,,,,"Art,","Mr. Tom Rickard, Director of PR",,,
Staunton Augusta Art Center,"One Gypsy Hill Park
Staunton, VA 24401
", 540-885-2028,, info@saartcenter.org, www.saartcenter.org,"Art,","Ms. Margo McGirr, Executive Director",,,
Staunton River Battlefield State Park,"1035 Fort Hill Trail
Randolph, VA 23926
",,,, www.stauntonriverbattlefield.org/,"Park,",,
Steamboat Era Museum,"156 King Carter Drive
Irvington, VA 22480
",,,,,"History,","Mr. Bruce King, Director",phone: 804-438-6888,,
Steven F. Udvar-Hazy Center,"14390 Air & Space Museum Parkway
Chantilly, VA 20151
", 703-572-4118,, NASM-VisitorServices@si.edu, airandspace.si.edu/museum/udvarhazy/,"History,Military,Science,Specialized,,Services,Gift ShopOnline Gift Shop,Special Event RentalCafe/Restaurant,Group Tours,",,
Stone House Foundation,"Stone House Foundation
805 Fairfax St
Stephens City, VA 22655
", 540-869-0235,,,,"History,Historic House,Historical Society,","Ms. Kim Dodd, Executive Director",phone: 540-869-1700,"Jennifer I. McClung, Director",,"Byron Smith, Educator/Collections Mananger",,,
Stoneleigh,"Ferrum, VA 24088
",,,,,"History,",,
Stonewall Jackson House,"8 East Washington Street
Lexington, VA 24450
",,,, www.stonewalljackson.org,"History,Historic House,","Ms. Michael Anne Lynn, Executive Director",phone: 540-463-2552,e-mail: sjh1@rockbridge.net,,
Strasburg Museum,"440 East King Street
Strasburg, VA 22657
", 540-465-3175,,, csonner.net/museum.htm,"History,Historic House,",,
Suffolk Art League,"118 Bosley Avenue
Suffolk, VA 23434
", 757-925-0448,, suffolkartleague@verizon.net, www.suffolkartleague.org,"Art,Children's,Culture,General,,Services,Group Tours,","Linda Bunch, Executive Director",phone: 757-925-0448,e-mail: suffolkartleague@verizon.net,,
Suffolk Center for the Cultural Arts,"Suffolk, VA 23439
", 757-923-0003,,, www.suffolkcenter.org,"Art,",,
Suffolk Museum,"118 Bosley Avenue
Suffolk, VA 23434
", 757-514-7284,, nkinzinger@city.suffolk.va.us, www.suffolkmuseumva.com,"Art,Children's,Culture,General,","Ms. Nancy A. Kinzinger, Museum Coordinator",phone: 757-514-7284,e-mail: nkinzinger@city.suffolk.va.us,"Debra Hill, Museum Assistant",phone: 757-514-7284,e-mail: dhill@city.suffolk.va.us,,
Suffolk Seaboard Station Museum,"326 N. Main Street
Suffolk, VA 23434
", 757-923-4750, 757-923-4751,, www.suffolktrainstation.org/,"History,",,
Suffolk-Nansemond Historical Society,"Suffolk, VA 23439
", 757-539-2781,, info@suffolkhistory.org, www.suffolkhistory.org,"Historical Society,","Ms. Barbara McPhail, President",,,
Sully Historic Site,"3650 Historic Sully Way
Chantilly, VA 20151
", 703-437-1794e-mail: Sullyevents@fair,, Sullyevents@fairfaxcounty.gov, www.fairfaxcounty.gov/parks/sully,"History,Historic House,Military,Park,,Services,Gift ShopSpecial Event Rental,Group Tours,","Ms. Carol McDonnell, Site Manager",phone: 703-437-1794,e-mail: Carol.McDonnell@fairfaxcounty.gov,"Erin Rock, Special Events and Marketing Coordinator",e-mail: erin.rock@fairfaxcounty.gov,"Kiersten Conley, Volunteer Coordinator",e-mail: Kiersten.Conley@fairfaxcounty.gov,"Tammy Loxton, Historian",e-mail: Tammy.Loxton@fairfaxcounty.gov,,
SW Virginia Ballet,"305 E Calhoun St.
Salem, VA 24153
", 540-387-3978,, pedro@svballet.org, www.svballet.org/,"History,","Ms. Vicki Honer, Board of Directors",phone: 540-982-1469,"Pedro Szalay, Artistic Director",e-mail: pedro@svballet.org,,
Swannanoa,"Waynesboro, VA 22980
",,,,,"History,","Ms. Shirley Smith, Director of Student Affairs",,,
Sweet Briar College Galleries,"Art Gallery
Sweet Briar, VA 24595
",,,,,,"Ms. Rebecca Massie Lane, Director",phone: 804-381-6248,,
Sweet Briar Museum,"Sweet Briar College
Sweet Briar, VA 24595
", 434-381-6100,, info@sbc.edu, www.museum.sbc.edu,"History,Historic House,University,","Karol A. Lawson, Ph.D., Director",e-mail: klawson@sbc.edu,,
Sycamore Tavern,"17193 Mountain Road
Montpelier, VA 23192
", 804-365-6464,, kosimpson@co.hanover.va.us,,,,
Taubman Museum of Art,"110 Salem Avenue SE
Roanoke, VA 24011
", 540-342-5760,, tours@taubmanmuseum.org, www.taubmanmuseum.org,"Art,General,History,,Services,Gift Shop,","Kimberly S.  Templeton, Director of External Affairs",phone: 540-204-4133,e-mail: ktempleton@taubmanmuseum.org,,
Tazewell County Historical Society,"100 Fincastle Turnpike
Tazewell, VA 24651
", 540-988-4069,,, www.cc.utah.edu/~pdp7277/taze-soc.html,"Historical Society,",,
The Heritage Museum,"382 High Street
Dayton, VA 22821
", 540-879-2616,, heritage@heritagecenter.com, valleyheritagemuseum.org,"Art,Culture,History,Historic House,Library,Military,,Services,Gift ShopOnline Gift Shop,Group Tours,","Penny Imeson, Executive Director",,,
The Tavern Museum,"146 Court House Landing Road
KING AND QUEEN COURT HOUSE, VA 23085
", 804-785-9558,, kandqmuseum@hughes.net, www.kingandqueenmuseum.com/,"General,History,Historic House,Historical Society,Library,",,
Thomas Balch Library,"208 W Market Street
Leesburg, VA 20176
", 703-737-7195,, balchlib@leesburgva.gov, www.leesburgva.gov/ThomasBalchLibrary,"History,Library,Specialized,,Services,Special Event RentalGroup Tours,","Alexandra Gressitt, Library Director ",phone: 703-737-7195,e-mail: balchlib@leesburgva.gov ,"Elizabeth Preston, Library Archives Specialist",phone: 703-737-7195,e-mail: balchlib@leesburgva.gov ,,
Thomas Jefferson's Poplar Forest,"1542 Bateman Bridge Road
Forest, VA 24551
", 434-525-1806, 434-525-7252,, www.poplarforest.org,"History,Historic House,,Services,Gift ShopOnline Gift Shop,Group Tours,","Ms. Octavia Starbuck, Director of Interpretation, Education",phone: 434-534-8108,e-mail: octavia@poplarforest.org,"Anna Bentson, Director of Marketing",e-mail: anna@poplarforest.org,,
"Thyne Institute Memorial, Inc.","30935 Highway 49
Chase City, VA 23924
",,,,,"History,",,
Tidewater Community College Visual Arts Center,"340 High Street
Portsmouth, VA 23704
",,, helpdesk@tcc.edu, www.tcc.edu/students/specialized/VAC/index.htm,"Art,","Ms. Shelley Brooks, Curator",,,
Trinity Church,"Staunton, VA 24402
", 757-567-3105,, info@trinitychurchvb.com, trinitychurchvb.com/,"Church,",,
Tuckahoe Plantation,"12601 River Road
Richmond, VA 23238
", 804-971-8329,, info@tuckahoeplantation.com, www.tuckahoeplantation.com,"History,","Mr. Addison Thompson, Resident Manager",phone: 804-784-5736,,
Tugboat Museum,"Norfolk, VA 23514
",,,,,,,
Turn the Mill Around Campaign,"Broad Run, VA 20137
",,,,,"History,","Ms. Ellen PercyMiller, Executive Director",phone: 703-753-3273,,
Twentieth Century Gallery,"219 North Boundary Street
Williamsburg, VA 23185
", 757-229-4949,, thiscenturyartgallery@verizon.net, www.thiscenturyartgallery.org/,,"Kerry Mellette, Executive Director",e-mail: kmellette@thiscenturyartgallery.org,,
U. S. Army Engineer Museum,"Belvoir Rd. & 16th St.
Fort Belvoir, VA 22060
",,,,,"History,",,
U. S. Slo-Pitch Softball Hall of Fame,"3935 Crater Rd.
Petersburg, VA 23805
",,,,,"History,",,
U.S. Army Quartermaster Museum,"Building 5218 , A Avenue and 22nd Street
Fort Lee, VA 23801
", 804-734-4203, 804-734-4359, leeeqmmuseum@conus.army.mil, www.qmmuseum.lee.army.mil,"Art,History,Military,","Mr. Tim O'Gorman, Director",phone: 804-734-4203,,
U.S. Army Transportation Museum,"300 Washington Boulevard ,
 Besson Hall
Fort Eustis, VA 23604
", 757-878-1115,,,,"History,Military,","Ms. Barbara Bower, Museum Director",e-mail: bowerb@eustis.army.mil,,
University of Richmond,"28 Westhampton Way
Richmond, VA 23173
", 804-289-8000,,, www.richmond.edu/,"University,",,
University of Richmond Museums,"University of Richmond
Richmond, VA 23173
", 804-289-8276, 804-287-1894, museums@richmond.edu, museums.richmond.edu/,"Art,Natural History,Science,University,,Services,Group Tours,","Mr. Richard Waller, Executive Director",phone: 804-287-6614,e-mail: rwaller@richmond.edu,"Ms. Elizabeth Schlatter, Deputy Director and Curator of Exhibitions",phone: 804-287-6423,e-mail: eschlatt@richmond.edu,"Heather Campbell, Curator of Museum Programs",phone: 804-287-6324,e-mail: hcampbel@richmond.edu,,
University of Virginia Art Museum,"155 Rugby Road
Charlottesville, VA 22903
", 434-924-3592,, efm4yb@eservices.virginia.edu, www.virginia.edu/artmuseum,"Art,","Ms. Jill Hartz, Director",phone: 804-924-3592,,
University of Virginia Art Museum,"Thomas H. Bayly Building
155 Rugby Road
Charlottesville, VA 22904
", 434-924-3592, 434-924-7458,, www.virginia.edu/artmuseum/,"Art,",,
Upper Wolfsnare Plantation,"2040 Potters Rd.
Virginia Beach, VA 23454
",,,,,"History,","Mr. Dale Taylor, President",,,
US Army Women's Museum,"2100 A Ave.
Fort Lee, VA 23801
", 804-734-4327, 804-734-4337, usarmy.lee.tradoc.mbx.leee-awm,mail.milweb: www.awm.lee.army.mil,"Military,","Judith Matteson, Director/Curator",phone: 804-734-4327,,
US Holocaust Memorial Museum,"5703 Dunster Ct., Apt. 172
Alexandria, VA 22311
",,,,,"History,","Ms. Cheryl R. Whitehead, Museum Technician",phone: 703-575-8943,,
"UVA, Papers of George Washington","994 Buck Mountain Ford Ln.
Earlysville, VA 22936
",,,,,"History,","Ms. Mary Anne Andrei, Research Assistant, General Faculty",phone: 804-964-1350,,
VA Tech Museum of Natural History,"2034 Derring Hall
Blacksburg, VA 24061
", 540-231-5360,, socm@vt.edu, www.socm.vt.edu/,"Natural History,",,
Valentine Richmond History Center,"1015 E. Clay Street
Richmond, VA 23219
", 804-649-0711,, info@richmondhistorycenter.com, www.richmondhistorycenter.com,"Anthropology,Archaeology,Art,Culture,General,History,Historic House,Historical Society,Library,Specialized,,Services,Gift ShopOnline Gift Shop,Special Event RentalCafe/Restaurant,Group Tours,","Mr. William Martin, Director",phone: 804-649-0711 x340,e-mail: wjmartin@richmondhistorycenter.com,"Domenick Casuccio, Director of PR & Marketing",phone: 804-649-0711,e-mail: dcasuccio@richmondhistorycenter.com,,
Village View Foundation,"221 Briggs St.
Emporia, VA 23847
",,,,,"History,","Mr. Spencer Anderson, President",phone: 804-634-6362,,
Violet Bank Museum,"303 Virginia Avenue
Colonial Heights, VA 23834
", 804-520-9395, 804-520-9390, woodburnr@colonial-heights.com, www.colonial-heights.com/RecVioletBank.htm,"History,",,
Virginia Academy of Historic Dance,"126 Kingspoint Drive
Williamsburg, VA 23185
", 757-226-9496,, info@vahd.org, vahd.org/,"History,","Ms. Merry Feyock, Director",phone: 757-220-3122,,
Virginia Air & Space Center,"600 Settlers Landing Road
Hampton, VA 23669
", 757-727-0900,, bdeprofio@vasc.org, www.vasc.org,"History,","Brian Deprofio, Interim Director",e-mail: bdeprofio@vasc.org,,
Virginia Aquarium & Marine Science Center,"717 General Booth Boulevard
Virginia Beach, VA 23451
", 757-385-3474, 757-437-4976, Fish@VirginiaAquarium.com, www.VirginiaAquarium.com,"Aquarium,Nature Centers,Science,","Lynn Clements, Executive Director",phone: 757-385-3474,"Joan Barns, Public Relations Director/Group Sales",phone: 757-385-0252,e-mail: JMBarns@VirginiaAquarium.com,,
Virginia Aviation Museum,"5701 Huntsman Road
Richmond, VA 23250
", 804-236-3622, 804-236-3623, mboehme@smv.org, www.vam.smv.org,"History,","Mr. Mike Boehme, Executive Director",phone: 804-236-3622,e-mail: mboehme@smv.org,,
"Virginia Baptist Historical Society, U of R","University Of Richmond, VA 23173
",,,,,"Historical Society,","Mr. Fred Anderson, Executive Director",phone: 804-289-8434,,
Virginia Beach Planetarium,"3080 South Lynnhaven Rd.
Virginia Beach, VA 23452
",,,,,"Planetarium,","Mr. Herbert Teuscher, Director",,,
Virginia Civil War Trails,"401 North 3rd Street
Richmond, VA 23219
",,, dpierce@civilwartraveler.com, www.civilwartraveler.com,"History,Military,","Mr. Mitch Bowman, Executive Director",phone: 804-782-2777,,
Virginia Discovery Museum,"524 East Main Street
Charlottesville, VA 22902
", 434-977-1025, 434-977-9681, vdmprograms@vadm.org, www.vadm.org,"Children's,","Ms. Amy Wicks-Horn, Executive Director",e-mail: executivedirector@vadm.org,"Joia Wood Caldwell, Director of Operations",e-mail: operations@vadm.org,"Caroline Roane, Museum Assistant",e-mail: gallerya@vadm.org,,
Virginia Fire and Police Museum,"200 West Marshall Street
Richmond, VA 23220
",,,, www.lva.virginia.gov/findaid/37327.htm#top,"History,Historic House,Specialized,","Ms. Susan M. Longest, Executive Director",phone: 804-644-1849,,
Virginia Historical Society,"Richmond, VA 23221
", 804-358-4901, 804-355-2399, hbeattie@vahistorical.org, www.vahistorical.org,"Historical Society,","Canan Boomer, Executive Assistant to the President ",e-mail: cboomer@vahistorical.org,,
The Virginia Holocaust Museum,"2000 East Cary Street
Richmond, VA 23223
", 804-257-5400, 804-257-4314,, www.va-holocaust.com,"Art,Culture,History,Library,Specialized,,Services,Gift ShopSpecial Event Rental,Group Tours,","Charlie Sydnor, Executive Director",e-mail: csydnor@va-holocaust.com,"Charles Coulomb, Chief Administrative Officer",e-mail: ccoulomb@va-holocaust.com,"Megan Ferenczy, Director of Education",e-mail: mferenczy@va-holocaust.com,"Tim Hensley, Director Library & Archives",e-mail: thensley@va-holocaust.com,"Matt Simpson, Director of Guest Services",e-mail: msimpson@va-holocaust.com,"Rhys Van Lienden, Marketing & Publications",e-mail: rvanlienden@va-holocaust.com,,
Virginia House,"4301 Sulgrave Road
Richmond, VA 23221
", 804-353-4251, 804-354-8247,,,"History,Historic House,","Ms. Tracy Bryan, House Coordinator and Site Manager",e-mail: tracy@vahistorical.org,,
Virginia Institute of Marine Science/Aquarium,"1208 Greate Rd.
Gloucester Point, VA 23062
", 804-684-7000, 804-684-7097, wells@vims.edu, www.vims.edu,"Aquarium,","John Wells, Dean and Director",e-mail: wells@vims.edu,,
Virginia Living Museum,"524 J. Clyde Moris Blvd.
Newport News, VA 23601
", 757-595-1900, 757-599-4897, ,aster@thevlm.orgweb: www.thevlm.org,"Aquarium,Arboretum,Archaeology,Botanical Garden,Children's,History,Natural History,Nature Centers,Park,Planetarium,Science,Zoo,,Services,Gift ShopSpecial Event Rental,Cafe/RestaurantGroup Tours,","Page Hayhurst, Director",e-mail: director@thevlm.org,"Virginia Gabriele, Marketing Director",e-mail: marketing@thevlm.org,,
Virginia Military Institute Museum,"106 E Washington St.
Lexington, VA 24450
", 540-463-3777,, info@lexingtonvirginia.com, www.lexingtonvirginia.com/attractionsb.asp?id=10,,"Col. Keith Gibson, Executive Director",phone: 540-464-7334,,
Virginia Museum of Fine Arts,"200 N. Boulevard
Richmond, VA 23220
", 804-204-4100,,, www.VMFA.museum,"Art,History,,Services,Gift ShopSpecial Event Rental,Cafe/RestaurantGroup Tours,","Ms. Suzanne D. Hall, Chief Communications Officer",phone: 804-204-2704,e-mail: suzanne.hall@vmfa.museum,"Peter M. Wagner, Vice President",phone: 804-340-1478,"Sara Johnson-Ward, Publishing and Product Development",phone: 800-943-8632,,
Virginia Museum of Natural History,"21 Starling Avenue
Martinsville, VA 24112
", 276-634-4141, 276-634-4199, information@vmnh.virginia.gov, www.vmnh.net,"History,Natural History,Science,,Services,Gift Shop,","Timothy Gette, Executive Director",,"Gloria Niblett, Director of Administration & Services",e-mail: gloria.niblett@vmnh.virginia.gov,"Dr. Richard Hoffman, Director of Research & Collections",e-mail: richard.hoffman@vmnh.virginia.gov,"Dennis Casey, Director of Education & Public Programs",e-mail: denny.casey@vmnh.virginia.gov,"Ryan Barber, Director of Marketing & External Affairs",e-mail: ryan.barber@vmnh.virginia.gov,"Debbie Lewis, Director of Development",,"Bronwyn Hairston, Staff",,,
"Virginia Museum of Transportation, Inc.","303 Norfolk Avenue
Roanoke, VA 24016
", 540-342-5670, 540-342-6898, info@vmt.org, www.vmt.org,"History,Military,Science,Specialized,",,
Virginia Quilt Museum,"301 South Main Street
Harrisonburg, VA 22801
", 540-433-3818, 540-433-3818, info@vaquiltmuseum.org, www.vaquiltmuseum.org,"Art,General,History,Library,Military,Specialized,,Services,Gift ShopGroup Tours,","Judith Shuey, Director",e-mail: director@vaquiltmuseum.org,"Paula Caldwell, Assistant Director",e-mail: info@vaquiltmuseum.org,"Donna Bensey, Administrative Assistant",phone: 540-433-3818,e-mail: info@vaquiltmuseum.org,,
Virginia Sports Hall of Fame,"206 High Street
Portsmouth, VA 23704
", 757-393-8031, 757-393-8288, info@vshfm.com, www.vshfm.com,"History,Specialized,University,","Mr. Eddie Webb, Executive Director",,,
Virginia State Capitol,"Hostess Desk, 2nd Floor
Capitol Square
Richmond, VA 23219
", 804-786-1010,, alynch@virginiacapitol.gov, www.virginiacapitol.gov,"History,","Ms. Charlotte Troxell, Supervisor of Capitol Hostesses",phone: 804-698-1788,"Mr. Mark Greenough, Supervisor of Capitol Hostesses",phone: 804-698-1788,"James E. Wootton, Executive Director",e-mail: jwootton@cspc.virginia.gov,"Jane Rhodes, Administrative Assistant",phone: 804-786-1010,e-mail: jrhodes@virginiacapitol.gov,,
Virginia Tech Museum of Natural History- Closed,"428 N. Main Street
Blacksburg, VA 24061
",,,,,,,
Virginia War Memorial,"621 South Belvidere Street
Richmond, VA 23220
", 804-786-2060, 804-786-6652, info@vawarmemorial.org, www.vawarmemorial.org,"History,Military,","Mr. John C. Hatfield, Executive Director",e-mail: jhatfield@vawarmemorial.org,"Ms. Rachael Snyder, Administrative Assistant",,,
Virginia War Museum,"9285 Warwick Boulevard
Newport News, VA 23609
", 757-886-7777,, virginiawarmuseum@nngov.com, www.warmuseum.org,"History,Military,,Services,Gift ShopOnline Gift Shop,Special Event RentalGroup Tours,","George  R. Hoffeditz, , Jr., Museum Curator",phone: 757-247-8523,e-mail: rhoffeditz@nngov.com,,
Virginia Zoological Society,"3500 Granby Street
Norfolk, VA 23504
",,,,,"Zoo,","Mr. Jon Manetta, Executive Director",phone: 757-624-9937,,
Virginia's Explore Park,"Milepost 115, Blue Ridge Parkway
Roanoke, VA 24014
", 540-427-1800, 540-427-1880,, www.explorepark.org,"History,","Ms. Lu Sadler, Director of Marketing",e-mail: lsadler@explorepark.org,,
Volunteer Rescue Squad Museum,"4428 Electric Rd., SW
Roanoke, VA 24014
",,,,,,,
Walney -- At Eleanor C. Lawrence Park,"Chantilly, VA 22021
",,,,,"Park,",,
Walter Reed Birthplace,"4021 Hickory Fork Rd
Gloucester, VA 23061
", 804-693-3663,, CCBZanoni@aol.com,,"History,Historic House,",,
Walton's Mountain Museum,"Schuyler, VA 22969
", 434-831-2000, 804-831-2002,, www.waltonmuseum.org,"History,Historic House,","Ms. Valda Mulkey, Director",e-mail: waltonmt@cstone.net,,
Warren Heritage Society,"101 Chester St.
Front Royal, VA 22630
", 540-636-1446,,, www.warrenheritagesociety.org/programs_festival.php,,"Patrick Farris, Executive Director",,,
Warren Rifles Confederate Museum,"95 Chester St
Front Royal, VA 22630
", 540-636-6982,,,,"History,","Ms. Suzanne Silek, President",phone: 540-635-6982,,
Warren-Sipe Museum,"301 S. Main St.
Harrisonburg, VA 22801
",,,,,"History,",,
Washington Co. Historical Society,"14139 Glenbrook Ave.
Meadowview, VA 24361
",,,,,"Historical Society,",Ms. Jennifer Wagner,,,
The Waterford Foundation,"Waterford, VA 20197
